Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R
1,Larry Jones,WAS,24,KR/PR,14,0,53,407,1,52,7.7
2,Neal Colzie,OAK,21,PR,13,2,48,655,0,64,13.6
3,Virgil Livers,CHI,23,KR/PR/RCB,14,7,42,456,0,39,10.9
4,Billy Johnson*,HOU,23,KR/PR/WR,14,14,40,612,3,83,15.3
5,Mike Fuller,SDG,22,KR/PR/ss,14,6,36,410,1,52,11.4
6,Howard Stevens,BAL,25,PR,12,0,36,396,0,53,11
7,Ralph McGill,SFO,25,FS/PR,9,9,31,290,0,34,9.4
8,Golden Richards,DAL,25,PR/WR,14,13,28,288,1,43,10.3
9,Rick Upchurch,DEN,23,KR/PR,14,0,27,312,0,51,11.6
10,Rondy Colbert,NYG,21,KR/PR,14,0,27,238,1,65,8.8
11,Freddie Solomon,MIA,22,KR/PR/wr,14,5,26,320,1,60,12.3
12,Rob Scribner,RAM,24,PR,14,0,26,205,0,16,7.9
13,Gary Hayman,BUF,24,PR,14,0,25,216,0,30,8.6
14,Glen Edwards*,PIT,28,FS/PR,14,14,25,267,0,25,10.7
15,Terry Metcalf*,STL,24,KR/PR/RB,13,13,23,285,1,69,12.4
16,Larry Marshall,PHI,25,KR/PR,10,0,23,235,0,39,10.2
17,Lyle Blackwood,CIN,24,PR,14,5,23,123,0,31,5.3
18,Mack Herron,2TM,27,,11,5,22,183,0,24,8.3
19,Dave Brown,PIT,22,,13,0,22,217,0,48,9.9
20,Charlie West,DET,29,PR/SS,14,14,22,219,0,43,10
21,Willard Harrell,GNB,23,PR/RB,14,13,21,136,0,25,6.5
22,Danny Buggs,NYG,22,,14,0,19,93,0,34,4.9
23,Bobby Bryant*,MIN,31,PR/RCB,14,14,19,125,0,16,6.6
24,Lou Piccone,NYJ,26,KR/PR,13,1,18,74,0,9,4.1
25,Gil Chapman,NOR,22,KR/PR,9,0,17,207,0,42,12.2
26,Manfred Moore,SFO,25,KR,14,0,16,160,0,17,10
27,Bruce Taylor,SFO,27,RCB,12,11,16,166,0,66,10.4
28,Darryl Stingley,NWE,24,PR/WR,14,14,15,113,0,29,7.5
29,Dave Elmendorf,RAM,26,SS,14,14,15,125,0,23,8.3
30,Greg Pruitt,CLE,24,KR/PR/RB,14,14,13,130,0,30,10
31,Lemar Parrish*,CIN,28,LCB,11,11,13,83,0,34,6.4
32,Ed Podolak,KAN,28,PR/RB,14,4,13,96,0,23,7.4
33,Bill Thompson,DEN,29,SS,14,14,13,158,0,24,12.2
34,Charlie Thomas,KAN,27,KR,7,0,12,112,0,34,9.3
35,Sam McCullum,MIN,23,,9,0,12,22,0,10,1.8
36,Terry Schmidt,NOR,23,RCB,13,9,11,76,0,17,6.9
37,Jim Bertelsen,RAM,25,,13,10,11,143,0,38,13
38,Tommy Casanova,CIN,25,SS,11,9,11,60,0,12,5.5
39,Willie Miller,CLE,28,,14,3,10,47,0,23,4.7
40,Tom Myers,NOR,25,SS,9,8,10,70,0,16,7
